job_title,salary_usd,experience_level,country,remote_type,company_size,source,matched_occupation,automation_probability,match_score,bls_matched_title,bls_mean_salary_usd,bls_match_score,bls_total_employment,ai_risk_band
Data Scientist,170000.0,Senior,United States,On-site,Medium,dataset_A,civil engineers,0.019,76.92307692307692,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,130000.0,Senior,United States,On-site,Medium,dataset_A,civil engineers,0.019,76.92307692307692,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Scientist,62500.0,Senior,United Kingdom,On-site,Medium,dataset_A,medical scientists,0.005,75.0,data scientists,124590.0,96.55172413793103,233440.0,Low
Data Engineer,220000.0,Senior,Canada,On-site,Medium,dataset_A,medical scientists,0.005,75.0,engineers,116760.0,72.72727272727273,1746750.0,Low
Data Engineer,180000.0,Senior,Canada,On-site,Medium,dataset_A,,,,engineers,116760.0,72.72727272727273,1746750.0,Unknown
Machine Learning Engineer,278700.0,Senior,United States,On-site,Medium,dataset_A,medical scientists,0.005,75.0,,,0.0,,Low
Machine Learning Engineer,159300.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,,,0.0,,Low
Data Analyst,145000.0,Senior,United States,On-site,Medium,dataset_A,aerospace engineers,0.017,68.75,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Analyst,110000.0,Senior,United States,On-site,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,budget analysts,93920.0,74.07407407407408,47170.0,Low
Data Science,57277.0,Entry-level,France,Hybrid,Medium,dataset_A,mechanical engineers,0.011,62.22222222222222,data scientists,124590.0,74.07407407407408,233440.0,Low
BI Data Analyst,66666.0,Senior,Germany,Hybrid,Small,dataset_A,management analysts,0.13,64.51612903225806,budget analysts,93920.0,73.33333333333334,47170.0,Low
Analytics Engineer,126000.0,Mid-level,United States,On-site,Medium,dataset_A,management analysts,0.13,64.51612903225806,electrical engineers,120980.0,68.42105263157895,188790.0,Low
Analytics Engineer,78000.0,Mid-level,United States,On-site,Medium,dataset_A,,,0.0,electrical engineers,120980.0,68.42105263157895,188790.0,Unknown
